text,bad,toxic,non-toxic
"Good. You explain how it works, but how does it become monetarily valuable? It still seems wholly arbitrary and is susceptible to corruption at its base. Meaning it is only an extension of our existing financial schemata and not a means of democratic control. Or am I mistaken?",0,6,123
So basically the block chain technology is a linked list data structure?,0,,
Amazing video! Thank you sharing this useful information!,0,,
Is it legal for middlesboro police department to mine with my cloud miners on a spectrum server while keeping me on a hotspot ?,0,,
You explained simply thank brother,0,,
Is this some kind of linked list data structure?,0,,
It is 2am and I&#39;m watching an oversimplified video about blockchainHelp,0,,
"Ok, but I don&#39;t see how this is used in Bitcoin.",0,,
Fantastic explanation!,0,,
waw.... ultimate.. love it..,0,,
Thanks soo much sir for this excellent explanation.,0,,
So wouldn&#39;t it be that a company or set of companies uniting under a common goal hold a majority of the nodes and therefore reject the decentralization of the blockchain? How do you defense against corporations trying to maintain control over it with their exponential amounts of resources available?,0,,
Me : hears hash Me: thinks about weed hashVideo: numbers,0,,
"I good information, thanks",0,,
:,0,,
"love you my man, I had the concept, but this really hits home the reasons and security behind blockchain. you nailed it",0,,
Nice video,0,,
1stcome²¹²²⁰⁹⁰¹²⁰²²,0,,
"Hey can i use your screenshots from you video to write an article if you don&#39;t mind?, Because its great",0,,
"If only you know what the future says, you&#39;llknow that indeed cryptocurrency is thefuture, investing in it now will be the wisestthing to do. Hold! And you&quot;ll thank yourself",0,,
you are using computers to create a &#39;memory-palace&#39;a controllable lucid dream-state4th-wallan artificial-brainin an &#39;imagined&#39; dimensionzxyamid-point between you and.. singularity,0,,
what a perfect video!,0,,
"Please remark me if I understand:1. old coin, you need to trust governmentally supervised banks2. bit coin, you need to trust the international unsupervised company that supports the P2P application",0,,
Great explanation!,0,,
Merkin,0,,
"If you clicked on this video having no idea what a blockchain is and wanting to know what makes it unique and what it could possibly be used for, go find another video. This is a waste of time",0,,
How about a BUSDX Video? They reward in BUSD even if you have staked your tokens,0,,
only scum buckets are into this crypto b.s.,1,,
2022 and I FINALLY understand blockchain technology.Thank you thank you,0,,
am looking for an artist to make nft&#39;s,0,,
"Getting into the market turned out lucrative for me although I’m not doing it alone, I’m glad I made that decision.",0,,
thanks!,0,,
hit like if u relate it to linked list,0,,
This was 4 years ago,0,,
Basically like the computer version of genetics,0,,
&quot;Almost impossible...&quot;,0,,
No better explanation than this !,0,,
notary,0,,
You are just awesome! Trust me!,0,,
My word...Thank you for such a great illustration of what &amp; how it works.,0,,
Good,0,,
Have you tried the mentioned cantact he is the best.,0,,
“Almost impossible.” — Famous Last Words of a Fool,1,,
Imagine the energy needed to sustain a popular blockchain.,0,,
"So then, why doesn&#39;t America use the blockchain in elections?They could not tamper with the votes this way.",0,,
hurm,0,,
love this...im looking forward to 2022 to see how blockchain tokens like sparkle coin will do,0,,
"Let&#39;s say, with block chain A&gt;B&gt;C&gt;D, you tamper with block B. How would that affect all following blocks, or even just block D? Wouldn&#39;t tampering with B&#39;s hash only affect B&#39;s hash and C&#39;s previous hash?",0,,
"This begs the question:if all blocks are connected,wouldnt it be easier to acces all the information if you get one hash?",0,,
